id_edan,ObjectID,GlobalID,fecha_inspeccion,hora,nombre_evaluador,id_grupo,entidad,tipo_evento,nombre_edificacion,municipio,barrio_vereda,direccion,direccion_norm,coords,tipo_propiedad,relacion_edificacion,otro,epoca_construccion,n_pisos,n_sotanos,n_ocupantes,frente,fondo,n_residenciales,n_comerciales,n_no_habitadas,n_muertos,n_heridos,acceso_edificacion,uso_edificacion,uso_cual,sistema_estructural,sistema_estructural_cual,material_estructura,material_entrepiso,sistema_entrepiso,sistema_entrepiso_cual,existen_sistemas_combinados,observaciones,sistema_cubierta,sistema_cubierta_cual,revestimiento_cubierta,revestimiento_cubierta_cual,sistema_muros_divisorios,sistema_muros_divisorios_cual,fachadas,fachadas_cual,escaleras,escaleras_cual,calidad_construccion,estado_edificacion,41_a,41_b,41_c,42_a,42_b,42_c,43_a,43_b,43_c,44_a,44_b,44_c,45_a,45_b,45_c,46_a,46_b,46_c,46_especifique_cual,colapso_total,colapso_parcial,asentamiento_severo,inclinacion_importante,suelo_inestable,riesgo_caida,danos_estructura,danos_contrapiso_entrepiso_muroscont,danos_muro_div,danos_cubierta,cielos_instalaciones,alc_exterior,alc_interior,matriz_ref,afectacion_planta,afectacion_planta_calc,severidad_danos,severidad_danos_calc,nivel_dano,riesgo_ab,riesgo_ac,habitabilidad_calc,criterio_habitabilidad,justificacion_criterio,requiere_evaluacion_adicional,eval_estructural,eval_geotecnica,eval_otra,recomendaciones,aislamiento,intervencion_entades,observaciones_generales,evento_id,gps_precision_m,CreationDate,Creator,EditDate,Editor,x,y,fecha_hora,comuna,barrio_geo,x_form,y_form,n_fotos_gps,gps_error_m,desplazamiento_m,coords_fuente,coords_validacion,geocode_lat,geocode_lon,dist_geocode_m,suspension_servicios,criterio_color,fuente
,,,2026-08-16,21:35,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,3.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,moderado,,moderado,,,parcial,completa,,,,medio,,medio,,,,i2,,estructural,,,,יש לבנות מחדש את חדרי המדרגות ,,,חדרי המדרגות בבנין אזורים אדומים,,,,Agamimisr,,,-76.54443623723986,3.4185365599640063,2026-08-16 21:35,COMUNA 19,Urbanización Tequendama,-76.54443623723986,3.4185365599640063,,,,,,,,,no,rojo,survey_israel
,,,2026-08-16,22:51,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,Centro Medico Colmedica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54305672179662,3.42156452514052,2026-08-16 22:51,COMUNA 19,Urbanización Tequendama,-76.54305672179662,3.42156452514052,,,,,,,,,no,verde,survey_israel
,,,2026-08-20,15:54,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,5.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,Clinica Naturista San Rafael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,si,no,si,severo,,moderado,,,parcial,completa,,,,alto,,alto,,,,r2,,estructural,,,,"חיזוק מדרגות במסגרות פלדה, חיזוק הזיז בקורות פלדה ",,,,,,,Agamimisr,,,-76.54421896648402,3.4183143741864463,2026-08-20 15:54,COMUNA 19,Urbanización Tequendama,-76.54421896648402,3.4183143741864463,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-16,23:05,,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,Cosmitet Ltda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,completa,,,,sin_dano,,sin_dano,,,,r2,,,,,,,,,יש לבצע סקר בפנים המבנה,,,,Agamimisr,,,-76.54371821890632,3.421549182248629,2026-08-16 23:05,COMUNA 19,Urbanización Tequendama,-76.54371821890632,3.421549182248629,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-19,20:59,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,Clinica Interplasticaק,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,leve,,moderado,,,completa,completa,,,,bajo,,bajo,,,,h,,,,,,,,,"המבנה בשלב שיפוץ מתקדם מאוד.
מתמונות שהוצגו נראה שהנזקים בבלוקים בלבד",,,,Agamimisr,,,-76.54535475660212,3.4196865292713268,2026-08-19 20:59,COMUNA 19,Urbanización Tequendama,-76.54535475660212,3.4196865292713268,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,21:39,איתי יאמין,,Inspectores de Israel,sismo,,Cali,,,,,,,,,4.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,sin_dano,,severo,,,completa,no_ingreso,,,,sin_dano,,sin_dano,,,,i2,,"estructural,otra",,,"המבנה לא נבדק מבפנים, אך מבחוץ נראה נזק משמעותי אשר לא מאפשר שימוש במבנה, כולל סכנת נפילה  עקב נפילת קירות בני חיצוניים.",,,,שלד תקין. כל מה שאינו שלד דורש פינוי ובנייה מחדש. לא ראוי לשימוש במצבו.,,,,Agamimisr,,,-76.54418377243478,3.4189863729666983,2026-08-16 21:39,COMUNA 19,Urbanización Tequendama,-76.54418377243478,3.4189863729666983,,,,,,,,,no,rojo,survey_israel
,,,2026-08-16,23:06,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54391699489057,3.42114932741153,2026-08-16 23:06,COMUNA 19,Urbanización Tequendama,-76.54391699489057,3.42114932741153,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,23:13,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54414356987175,3.421337014408357,2026-08-16 23:13,COMUNA 19,Urbanización Tequendama,-76.54414356987175,3.421337014408357,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,22:30,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,3.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,severo,,severo,,,parcial,no_ingreso,,,,alto,,alto,,,,r2,,estructural,,,,,,,מבנה מוגבל בשימוש בעל אזורים מסוכנים,,,,Agamimisr,,,-76.54343921717518,3.420031752512574,2026-08-16 22:30,COMUNA 19,Urbanización Tequendama,-76.54343921717518,3.420031752512574,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-16,22:00,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,"Hospital Ortopédico Sucursal Cali
סקר ראשוני מחוץ למבנה",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,"חיצונית נראה תקין, יש לבצע סקר מקיף בפנים המבנה",,,,Agamimisr,,,-76.54354813168413,3.4195618691816394,2026-08-16 22:00,COMUNA 19,Urbanización Tequendama,-76.54354813168413,3.4195618691816394,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,22:38,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54326291396123,3.4204388673907804,2026-08-16 22:38,COMUNA 19,Urbanización Tequendama,-76.54326291396123,3.4204388673907804,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,22:42,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,1.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54296544657932,3.4209794938711724,2026-08-16 22:42,COMUNA 19,Urbanización Tequendama,-76.54296544657932,3.4209794938711724,,,,,,,,,no,verde,survey_israel
,,,2026-08-16,22:58,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,salud,,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Agamimisr,,,-76.54358719672615,3.4209913004329686,2026-08-16 22:58,COMUNA 19,Urbanización Tequendama,-76.54358719672615,3.4209913004329686,,,,,,,,,no,verde,survey_israel
